sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,famrel,freetime,health,absences,quiz,assignment,exam1,exam2,final
0,18,0,1,1,4,4,3,0,2,0,2,2,0,1,0,0,0,1,1,0,4,3,3,6,1,1,1,2,2
0,17,0,1,0,1,1,3,4,2,1,1,2,0,0,1,0,0,0,1,1,5,3,3,4,2,2,1,4,3
0,15,0,0,0,1,1,3,4,3,0,1,2,3,1,0,1,0,1,1,1,4,3,3,10,1,1,3,1,3
0,15,0,1,0,4,2,1,2,0,0,1,3,0,0,1,1,1,1,1,1,3,2,5,2,2,2,1,3,1
0,16,0,1,0,3,3,4,4,0,1,1,2,0,0,1,1,0,1,1,0,4,3,5,4,3,3,4,1,1
1,16,0,0,0,4,3,2,4,1,0,1,2,0,0,1,1,1,1,1,1,5,4,5,10,1,1,0,4,0
1,16,0,0,0,2,2,4,4,0,0,1,2,0,0,0,0,0,1,1,1,4,4,3,0,3,3,0,0,1
0,17,0,1,1,4,4,4,0,0,0,2,2,0,1,1,0,0,1,1,0,4,1,1,6,1,1,2,0,2
1,15,0,0,1,3,2,2,4,0,0,1,2,0,0,1,1,0,1,1,1,4,2,1,0,4,4,3,2,1
1,15,0,1,0,3,4,4,4,0,0,1,2,0,0,1,1,1,1,1,1,5,5,5,0,0,0,1,3,2
0,15,0,1,0,4,4,0,1,1,0,1,2,0,0,1,1,0,1,1,1,3,3,2,0,0,0,4,1,3
0,15,0,1,0,2,1,2,4,1,1,3,3,0,0,1,0,1,1,1,1,5,2,4,4,2,2,3,4,1
1,15,0,0,0,4,4,1,2,2,1,1,1,0,0,1,1,1,1,1,1,4,3,5,2,3,3,1,3,3
1,15,0,1,0,4,3,0,4,2,0,2,2,0,0,1,1,0,1,1,1,5,4,3,2,1,1,0,1,1
1,15,0,1,1,2,2,4,4,0,2,1,3,0,0,1,0,0,1,1,1,4,5,3,0,4,4,2,0,4
0,16,0,1,0,4,4,1,4,0,0,1,1,0,0,1,0,0,1,1,1,4,4,2,4,3,3,2,2,0
0,16,0,1,0,4,4,2,2,1,0,1,3,0,0,1,1,1,1,1,1,3,2,2,6,1,1,4,2,0
